hour,temperature_c,humidity,wind_speed,visibility_10m,dew_point_c,solar_radiation,rainfall_mm,snowfall_cm,year,month,day_of_week,hour_sin,hour_cos,month_sin,month_cos,day_of_week_sin,day_of_week_cos,temp_humidity_interaction,wind_rain_interaction,temp_solar_interaction,season,holiday,functioning_day,time_of_day,temp_feel,is_weekend,is_rush_hour,has_rain,has_snow,is_holiday,is_functioning,is_spring,is_summer,is_autumn,is_winter,extreme_weather,rented_bike_count
7,27.877972355442225,29.752664571898514,5.852549061835951,22.06435164999743,23.823955375529888,1.028767743754058,0.6871996930319242,0.0516274477212686,2023,8,5,0.2588190451025207,-1.8369701987210294e-16,1.0,-0.8660254037844388,-0.7818314824680299,0.6234898018587336,0.8370983054739665,0.6330860194614812,20.970603698361987,Spring,No Holiday,Yes,Morning,Mild,1,0,1,1,0,1,0,0,1,0,1,35
10,22.595786353029816,18.149643688714363,14.547301400492568,29.762242937740687,2.112456441582739,2.065053352261977,1.2380393422189633,0.2741796343485395,2023,11,6,1.2246467991473532e-16,0.2588190451025207,0.8660254037844386,-0.5000000000000004,0.7818314824680298,-0.2225209339563143,13.726571696156276,0.739053374053076,20.14662075891612,Summer,No Holiday,Yes,Evening,Very_Cold,1,0,1,1,1,0,0,0,1,0,0,74
19,31.259633442552495,62.96707660824215,4.999994061741457,18.874405019109577,8.18275132692846,1.599743020401713,1.586506822479823,0.2993713988282299,2023,10,4,-0.8660254037844386,-0.7071067811865475,0.8660254037844386,0.5000000000000001,-0.7818314824680299,-0.2225209339563146,12.152098074834628,2.482981792100916,52.31432542783547,Spring,No Holiday,Yes,Night,Warm,1,1,0,0,1,0,0,0,1,0,0,51
0,38.57496403714677,65.6165177676629,2.85723889000536,11.108791993239532,17.659271415694185,0.5769156174325875,0.0052909184919978,0.0121974468136301,2023,11,3,-0.9659258262890684,0.8660254037844384,-0.8660254037844386,6.123233995736766e-17,-0.7818314824680299,-0.9009688679024191,6.7926757639772575,0.1724223685869338,102.21790457500352,Spring,No Holiday,Yes,Night,Mild,0,1,1,0,1,1,1,1,1,1,1,57
6,24.93922676316472,24.31125109529918,3.7238225752312326,6.784547994063552,-5.039422197469106,1.0140954567582607,2.3216546286046316,0.3136235739445348,2023,4,6,-0.8660254037844384,-0.9659258262890684,-2.4492935982947064e-16,6.123233995736766e-17,0.9749279121818236,1.0,5.881489675772356,0.5974892065937372,19.286830540717297,Summer,No Holiday,Yes,Night,Warm,0,1,1,0,0,1,1,1,0,0,1,43
20,24.262725048228383,76.58338181771609,1.1133983424968923,26.18490702459961,21.517351840910983,1.1176297116497351,0.5744556469112093,0.0459293706472591,2023,6,3,-0.4999999999999998,-0.5000000000000004,-2.4492935982947064e-16,0.5000000000000001,-0.9749279121818236,0.6234898018587334,6.364704119688842,0.7569094116774184,9.104686706684271,Autumn,No Holiday,Yes,Evening,Very_Cold,0,1,0,0,1,0,1,1,0,1,1,52
20,39.728929765219334,26.690929447642787,6.942366942457639,24.43695636340508,0.792925661389491,4.244664590473788,0.5157444062299704,0.1039171947102144,2023,11,4,-0.9659258262890684,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.7818314824680298,1.0,17.383257181995603,2.5542010499935452,50.31201598087901,Spring,No Holiday,Yes,Morning,Warm,0,0,0,0,1,0,0,0,1,1,0,66
16,27.770181639649937,53.11926504547587,6.86037626760763,7.017684623381546,6.360004641299422,6.483478122684965,0.0076650007574198,0.0035368228514351,2023,6,4,0.8660254037844386,1.0,0.4999999999999999,0.5000000000000001,0.4338837391175582,-0.2225209339563146,6.1291140333779595,0.4018462900144701,72.87830959843767,Spring,No Holiday,Yes,Night,Mild,1,0,0,0,1,0,0,1,1,1,1,54
9,18.853483213198796,61.53742724912829,0.7862951142129779,6.018962704397204,12.310863233581406,4.46987835455767,0.98748098976607,0.2197183044953194,2023,5,0,1.0,-0.7071067811865475,-0.8660254037844386,-1.0,-0.9749279121818236,-0.2225209339563143,10.403810156221864,3.875228282533397,49.001763174472195,Spring,No Holiday,Yes,Afternoon,Mild,0,0,1,0,0,1,0,0,0,1,1,42
10,32.94362394532848,67.23246607515199,10.517785286599471,21.45410330433527,9.666353151316793,2.540068695939272,0.0786143837022033,0.1026098146304395,2023,1,6,-0.9659258262890684,0.8660254037844387,0.8660254037844386,-1.0,0.0,-0.2225209339563146,16.282162433884448,1.9688304512093295,-4.669404537657465,Spring,No Holiday,Yes,Night,Very_Cold,0,1,1,0,1,0,1,1,0,1,1,49
21,20.11616121997232,69.56000016388236,1.5680070722363515,9.448561857562783,16.31340846760363,1.7589184990423288,0.9080163082472548,0.1031573833286668,2023,3,0,-0.2588190451025215,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.9749279121818236,0.6234898018587334,10.38549233818122,0.125615132923477,89.65691914287417,Summer,No Holiday,Yes,Night,Mild,0,1,0,0,1,1,0,0,0,1,0,61
